timestep, accuracy, iterations
442, 0.727, 100000
443, 0.738, 100000
444, 0.754, 100000
445, 0.728, 100000
446, 0.728, 100000
447, 0.739, 100000
448, 0.723, 100000
449, 0.708, 100000
450, 0.738, 100000
451, 0.73, 100000
452, 0.701, 100000
453, 0.721, 100000
454, 0.743, 100000
455, 0.724, 100000
456, 0.71, 100000
457, 0.743, 100000
458, 0.753, 100000
459, 0.758, 100000
460, 0.734, 100000
461, 0.728, 100000
462, 0.75, 100000
463, 0.73, 100000
464, 0.706, 100000
465, 0.726, 100000
466, 0.704, 100000
467, 0.723, 100000
468, 0.732, 100000
469, 0.743, 100000
470, 0.725, 100000
471, 0.711, 100000
472, 0.743, 100000
473, 0.739, 100000
474, 0.746, 100000
475, 0.729, 100000
476, 0.723, 100000
477, 0.73, 100000
478, 0.747, 100000
479, 0.746, 100000
480, 0.724, 100000
481, 0.732, 100000
482, 0.734, 100000
483, 0.727, 100000
484, 0.733, 100000
485, 0.75, 100000
486, 0.738, 100000
487, 0.706, 100000
488, 0.694, 100000
489, 0.761, 100000
490, 0.732, 100000
491, 0.715, 100000
492, 0.703, 100000
493, 0.724, 100000
494, 0.741, 100000
495, 0.714, 100000
496, 0.731, 100000
497, 0.762, 100000
498, 0.728, 100000
499, 0.706, 100000
500, 0.73, 1000000
501, 0.747, 1000000
502, 0.726, 1000000
503, 0.753, 1000000
504, 0.742, 1000000
505, 0.725, 1000000
506, 0.734, 1000000
507, 0.73, 1000000
508, 0.726, 1000000
509, 0.707, 1000000
510, 0.712, 1000000
511, 0.705, 1000000
512, 0.745, 1000000
513, 0.763, 1000000
514, 0.755, 1000000
515, 0.729, 1000000
516, 0.728, 1000000
517, 0.727, 1000000
518, 0.716, 1000000
519, 0.737, 1000000
520, 0.727, 1000000
521, 0.712, 1000000
522, 0.741, 1000000
523, 0.722, 1000000
524, 0.738, 1000000
525, 0.718, 1000000
526, 0.706, 1000000
527, 0.712, 1000000
528, 0.721, 1000000
529, 0.725, 1000000
530, 0.744, 1000000
531, 0.73, 1000000
532, 0.717, 1000000
533, 0.733, 1000000
534, 0.73, 1000000
535, 0.708, 1000000
536, 0.731, 1000000
537, 0.729, 1000000
538, 0.716, 1000000
539, 0.73, 1000000
540, 0.737, 1000000
541, 0.743, 1000000
542, 0.723, 1000000
543, 0.714, 1000000
544, 0.718, 1000000
545, 0.74, 1000000
546, 0.743, 1000000
547, 0.726, 1000000
548, 0.752, 1000000
549, 0.727, 1000000
550, 0.718, 1000000
551, 0.759, 1000000
552, 0.724, 1000000
553, 0.728, 1000000
554, 0.718, 1000000
555, 0.725, 1000000
556, 0.72, 1000000
557, 0.689, 1000000
558, 0.73, 1000000
559, 0.718, 1000000
560, 0.735, 1000000
561, 0.719, 1000000
562, 0.708, 1000000
563, 0.722, 1000000
564, 0.729, 1000000
565, 0.729, 1000000
566, 0.703, 1000000
567, 0.726, 1000000
568, 0.739, 1000000
569, 0.742, 1000000
570, 0.753, 1000000
571, 0.74, 1000000
572, 0.725, 1000000
573, 0.745, 1000000
574, 0.722, 1000000
575, 0.726, 1000000
576, 0.747, 1000000
577, 0.732, 1000000
578, 0.72, 1000000
579, 0.743, 1000000
580, 0.701, 1000000
581, 0.723, 1000000
582, 0.752, 1000000
583, 0.704, 1000000
584, 0.737, 1000000
585, 0.731, 1000000
586, 0.699, 1000000
587, 0.735, 1000000
588, 0.711, 1000000
589, 0.731, 1000000
590, 0.717, 1000000
591, 0.742, 1000000
592, 0.743, 1000000
593, 0.726, 1000000
594, 0.718, 1000000
595, 0.726, 1000000
596, 0.728, 1000000
597, 0.745, 1000000
598, 0.706, 1000000
599, 0.724, 1000000
600, 0.73, 10000000
601, 0.721, 10000000
602, 0.764, 10000000
603, 0.728, 10000000
604, 0.721, 10000000
605, 0.753, 10000000
606, 0.713, 10000000
607, 0.737, 10000000
608, 0.724, 10000000
609, 0.759, 10000000
610, 0.736, 10000000
611, 0.714, 10000000
612, 0.726, 10000000
613, 0.72, 10000000
614, 0.72, 10000000
615, 0.71, 10000000
616, 0.739, 10000000
617, 0.728, 10000000
618, 0.698, 10000000
619, 0.723, 10000000
620, 0.741, 10000000
621, 0.708, 10000000
622, 0.723, 10000000
623, 0.71, 10000000
624, 0.737, 10000000
625, 0.747, 10000000
626, 0.709, 10000000
627, 0.718, 10000000
628, 0.723, 10000000
629, 0.721, 10000000
630, 0.72, 10000000
631, 0.708, 10000000
632, 0.71, 10000000
633, 0.73, 10000000
634, 0.719, 10000000
635, 0.716, 10000000
636, 0.735, 10000000
637, 0.73, 10000000
638, 0.722, 10000000
639, 0.693, 10000000
640, 0.732, 10000000
641, 0.73, 10000000
642, 0.683, 10000000
643, 0.736, 10000000
644, 0.73, 10000000
645, 0.722, 10000000
646, 0.739, 10000000
647, 0.738, 10000000
648, 0.735, 10000000
649, 0.734, 10000000
650, 0.729, 10000000
651, 0.708, 10000000
652, 0.731, 10000000
653, 0.733, 10000000
654, 0.737, 10000000
655, 0.72, 10000000
656, 0.733, 10000000
657, 0.747, 10000000
658, 0.729, 10000000
659, 0.72, 10000000
660, 0.711, 10000000
661, 0.709, 10000000
662, 0.727, 10000000
663, 0.741, 10000000
664, 0.731, 10000000
665, 0.728, 10000000
666, 0.756, 10000000
667, 0.708, 10000000
668, 0.745, 10000000
669, 0.728, 10000000
670, 0.731, 10000000
671, 0.738, 10000000
672, 0.726, 10000000
673, 0.706, 10000000
674, 0.724, 10000000
675, 0.7, 10000000
676, 0.737, 10000000
677, 0.708, 10000000
678, 0.721, 10000000
679, 0.735, 10000000
680, 0.735, 10000000
681, 0.748, 10000000
682, 0.73, 10000000
683, 0.745, 10000000
684, 0.693, 10000000
685, 0.723, 10000000
686, 0.733, 10000000
687, 0.735, 10000000
688, 0.729, 10000000
689, 0.719, 10000000
690, 0.73, 10000000
691, 0.723, 10000000
692, 0.714, 10000000
693, 0.734, 10000000
694, 0.716, 10000000
695, 0.751, 10000000
696, 0.731, 10000000
697, 0.72, 10000000
698, 0.754, 10000000
699, 0.719, 10000000
700, 0.724, 100000000
701, 0.736, 100000000
702, 0.71, 100000000
703, 0.736, 100000000
704, 0.736, 100000000
705, 0.714, 100000000
706, 0.733, 100000000
707, 0.71, 100000000
708, 0.744, 100000000
709, 0.711, 100000000
710, 0.741, 100000000
711, 0.726, 100000000
712, 0.725, 100000000
713, 0.723, 100000000
714, 0.744, 100000000
715, 0.754, 100000000
716, 0.739, 100000000
717, 0.745, 100000000
718, 0.74, 100000000
719, 0.719, 100000000
720, 0.734, 100000000
721, 0.769, 100000000
722, 0.754, 100000000
723, 0.726, 100000000
724, 0.718, 100000000
725, 0.727, 100000000
726, 0.741, 100000000
727, 0.714, 100000000
728, 0.719, 100000000
729, 0.747, 100000000
730, 0.732, 100000000
731, 0.726, 100000000
732, 0.725, 100000000
733, 0.724, 100000000
734, 0.734, 100000000
735, 0.728, 100000000
736, 0.734, 100000000
737, 0.735, 100000000
738, 0.731, 100000000
739, 0.738, 100000000
740, 0.726, 100000000
741, 0.725, 100000000
742, 0.701, 100000000
743, 0.738, 100000000
744, 0.73, 100000000
745, 0.755, 100000000
746, 0.747, 100000000
747, 0.722, 100000000
748, 0.74, 100000000
749, 0.74, 100000000
750, 0.743, 100000000
751, 0.735, 100000000
752, 0.717, 100000000
753, 0.746, 100000000
754, 0.725, 100000000
755, 0.726, 100000000
756, 0.722, 100000000
757, 0.723, 100000000
758, 0.751, 100000000
759, 0.714, 100000000
760, 0.752, 100000000
