timestep, accuracy, iterations
568, 0.452, 1000000
569, 0.448, 1000000
570, 0.435, 1000000
571, 0.466, 1000000
572, 0.427, 1000000
573, 0.455, 1000000
574, 0.461, 1000000
575, 0.456, 1000000
576, 0.448, 1000000
577, 0.458, 1000000
578, 0.463, 1000000
579, 0.444, 1000000
580, 0.471, 1000000
581, 0.453, 1000000
582, 0.418, 1000000
583, 0.427, 1000000
584, 0.424, 1000000
585, 0.449, 1000000
586, 0.471, 1000000
587, 0.446, 1000000
588, 0.451, 1000000
589, 0.441, 1000000
590, 0.474, 1000000
591, 0.459, 1000000
592, 0.47, 1000000
593, 0.434, 1000000
594, 0.454, 1000000
595, 0.433, 1000000
596, 0.426, 1000000
597, 0.459, 1000000
598, 0.417, 1000000
599, 0.443, 1000000
600, 0.446, 10000000
601, 0.417, 10000000
602, 0.436, 10000000
603, 0.413, 10000000
604, 0.447, 10000000
605, 0.467, 10000000
606, 0.434, 10000000
607, 0.456, 10000000
608, 0.453, 10000000
609, 0.454, 10000000
610, 0.455, 10000000
611, 0.438, 10000000
612, 0.487, 10000000
613, 0.429, 10000000
614, 0.452, 10000000
615, 0.441, 10000000
616, 0.43, 10000000
617, 0.424, 10000000
618, 0.468, 10000000
619, 0.444, 10000000
620, 0.441, 10000000
621, 0.477, 10000000
622, 0.435, 10000000
623, 0.46, 10000000
624, 0.427, 10000000
625, 0.438, 10000000
626, 0.422, 10000000
627, 0.455, 10000000
628, 0.442, 10000000
629, 0.451, 10000000
630, 0.439, 10000000
631, 0.442, 10000000
632, 0.429, 10000000
633, 0.461, 10000000
634, 0.435, 10000000
635, 0.442, 10000000
636, 0.436, 10000000
637, 0.411, 10000000
638, 0.464, 10000000
639, 0.472, 10000000
640, 0.478, 10000000
641, 0.453, 10000000
642, 0.437, 10000000
643, 0.446, 10000000
644, 0.436, 10000000
645, 0.444, 10000000
646, 0.471, 10000000
647, 0.442, 10000000
648, 0.467, 10000000
649, 0.457, 10000000
650, 0.446, 10000000
651, 0.471, 10000000
652, 0.452, 10000000
653, 0.434, 10000000
654, 0.435, 10000000
655, 0.423, 10000000
656, 0.441, 10000000
657, 0.448, 10000000
658, 0.438, 10000000
659, 0.448, 10000000
660, 0.437, 10000000
661, 0.461, 10000000
662, 0.446, 10000000
663, 0.43, 10000000
664, 0.44, 10000000
665, 0.427, 10000000
666, 0.451, 10000000
667, 0.475, 10000000
668, 0.423, 10000000
669, 0.443, 10000000
670, 0.452, 10000000
671, 0.456, 10000000
672, 0.437, 10000000
673, 0.415, 10000000
674, 0.483, 10000000
675, 0.427, 10000000
676, 0.471, 10000000
677, 0.473, 10000000
678, 0.445, 10000000
679, 0.451, 10000000
680, 0.429, 10000000
