[2017-04-18 21:09:13,067] Making new env: FrozenLake-v0
accuracy, i_max_iter, i_k
0.747, 10, 100
0.747, 10, 100
0.712, 10, 100
0.742, 10, 100
0.74, 10, 100
0.735, 10, 100
0.751, 10, 100
0.75, 10, 100
0.721, 10, 100
0.752, 10, 100
0.748, 10, 1000
0.73, 10, 1000
0.714, 10, 1000
0.755, 10, 1000
0.735, 10, 1000
0.733, 10, 1000
0.727, 10, 1000
0.73, 10, 1000
0.765, 10, 1000
0.765, 10, 1000
0.72, 10, 10000
0.732, 10, 10000
0.705, 10, 10000
0.74, 10, 10000
0.739, 10, 10000
0.732, 10, 10000
0.72, 10, 10000
0.743, 10, 10000
0.751, 10, 10000
0.723, 10, 10000
0.76, 10, 100000
0.72, 10, 100000
0.737, 10, 100000
0.745, 10, 100000
0.761, 10, 100000
0.741, 10, 100000
0.729, 10, 100000
0.745, 10, 100000
0.748, 10, 100000
0.737, 10, 100000
0.742, 10, 1000000
0.719, 10, 1000000
0.731, 10, 1000000
0.744, 10, 1000000
0.729, 10, 1000000
0.744, 10, 1000000
0.727, 10, 1000000
0.752, 10, 1000000
0.737, 10, 1000000
0.746, 10, 1000000
0.751, 10, 10000000
0.756, 10, 10000000
0.726, 10, 10000000
0.77, 10, 10000000
0.724, 10, 10000000
0.72, 10, 10000000
0.727, 10, 10000000
0.742, 10, 10000000
0.751, 10, 10000000
0.753, 10, 10000000
0.425, 10, 10
0.462, 10, 10
0.443, 10, 10
0.435, 10, 10
0.428, 10, 10
0.42, 10, 10
0.442, 10, 10
0.441, 10, 10
0.42, 10, 10
0.454, 10, 10
0.775, 10, 100
0.739, 10, 100
0.76, 10, 100
0.745, 10, 100
0.731, 10, 100
0.723, 10, 100
0.735, 10, 100
0.766, 10, 100
0.734, 10, 100
0.74, 10, 100
0.754, 10, 1000
0.732, 10, 1000
0.711, 10, 1000
0.724, 10, 1000
0.767, 10, 1000
0.718, 10, 1000
0.741, 10, 1000
0.729, 10, 1000
0.747, 10, 1000
0.716, 10, 1000
0.763, 10, 10000
0.757, 10, 10000
0.727, 10, 10000
0.751, 10, 10000
0.745, 10, 10000
0.746, 10, 10000
0.746, 10, 10000
0.74, 10, 10000
0.743, 10, 10000
0.694, 10, 10000
0.728, 10, 100000
0.757, 10, 100000
0.755, 10, 100000
0.761, 10, 100000
0.742, 10, 100000
0.727, 10, 100000
0.742, 10, 100000
0.764, 10, 100000
0.755, 10, 100000
0.732, 10, 100000
0.743, 10, 1000000
0.77, 10, 1000000
0.739, 10, 1000000
0.713, 10, 1000000
0.729, 10, 1000000
0.728, 10, 1000000
0.736, 10, 1000000
0.724, 10, 1000000
0.718, 10, 1000000
0.751, 10, 1000000
0.735, 10, 10000000
0.744, 10, 10000000
0.729, 10, 10000000
0.739, 10, 10000000
0.763, 10, 10000000
0.724, 10, 10000000
0.747, 10, 10000000
0.758, 10, 10000000
0.735, 10, 10000000
0.718, 10, 10000000
0.453, 10, 10
0.436, 10, 10
0.458, 10, 10
0.483, 10, 10
0.453, 10, 10
0.47, 10, 10
0.44, 10, 10
0.465, 10, 10
0.456, 10, 10
0.423, 10, 10
0.739, 10, 100
0.723, 10, 100
0.734, 10, 100
0.734, 10, 100
0.742, 10, 100
0.752, 10, 100
0.752, 10, 100
0.721, 10, 100
0.747, 10, 100
0.746, 10, 100
