timestep, accuracy, iterations
462, 0.87, 100000
463, 0.897, 100000
464, 0.888, 100000
465, 0.871, 100000
466, 0.878, 100000
467, 0.87, 100000
468, 0.881, 100000
469, 0.89, 100000
470, 0.887, 100000
471, 0.879, 100000
472, 0.893, 100000
473, 0.89, 100000
474, 0.881, 100000
475, 0.875, 100000
476, 0.877, 100000
477, 0.888, 100000
478, 0.865, 100000
479, 0.878, 100000
480, 0.889, 100000
481, 0.9, 100000
482, 0.894, 100000
483, 0.871, 100000
484, 0.892, 100000
485, 0.88, 100000
486, 0.875, 100000
487, 0.886, 100000
488, 0.888, 100000
489, 0.89, 100000
490, 0.876, 100000
491, 0.881, 100000
492, 0.893, 100000
493, 0.897, 100000
494, 0.877, 100000
495, 0.88, 100000
496, 0.882, 100000
497, 0.893, 100000
498, 0.896, 100000
499, 0.884, 100000
500, 0.864, 1000000
501, 0.857, 1000000
502, 0.885, 1000000
503, 0.878, 1000000
504, 0.892, 1000000
505, 0.897, 1000000
506, 0.892, 1000000
507, 0.884, 1000000
508, 0.89, 1000000
509, 0.885, 1000000
510, 0.884, 1000000
511, 0.887, 1000000
512, 0.872, 1000000
513, 0.886, 1000000
514, 0.901, 1000000
515, 0.881, 1000000
516, 0.882, 1000000
517, 0.891, 1000000
518, 0.877, 1000000
519, 0.88, 1000000
520, 0.905, 1000000
521, 0.904, 1000000
522, 0.877, 1000000
523, 0.89, 1000000
524, 0.889, 1000000
525, 0.889, 1000000
526, 0.892, 1000000
527, 0.887, 1000000
528, 0.87, 1000000
529, 0.888, 1000000
530, 0.891, 1000000
531, 0.894, 1000000
532, 0.895, 1000000
533, 0.887, 1000000
534, 0.871, 1000000
535, 0.891, 1000000
536, 0.888, 1000000
537, 0.885, 1000000
538, 0.893, 1000000
539, 0.873, 1000000
540, 0.89, 1000000
541, 0.878, 1000000
542, 0.904, 1000000
543, 0.888, 1000000
544, 0.887, 1000000
545, 0.897, 1000000
546, 0.89, 1000000
547, 0.899, 1000000
548, 0.881, 1000000
549, 0.884, 1000000
550, 0.882, 1000000
551, 0.891, 1000000
552, 0.897, 1000000
553, 0.88, 1000000
554, 0.896, 1000000
555, 0.878, 1000000
556, 0.895, 1000000
557, 0.876, 1000000
558, 0.892, 1000000
559, 0.891, 1000000
560, 0.885, 1000000
561, 0.862, 1000000
562, 0.878, 1000000
563, 0.875, 1000000
564, 0.876, 1000000
565, 0.89, 1000000
566, 0.885, 1000000
567, 0.895, 1000000
568, 0.891, 1000000
569, 0.86, 1000000
570, 0.884, 1000000
571, 0.873, 1000000
572, 0.903, 1000000
573, 0.891, 1000000
574, 0.872, 1000000
575, 0.884, 1000000
576, 0.9, 1000000
577, 0.885, 1000000
578, 0.906, 1000000
579, 0.888, 1000000
580, 0.87, 1000000
581, 0.876, 1000000
582, 0.885, 1000000
583, 0.89, 1000000
584, 0.866, 1000000
585, 0.888, 1000000
586, 0.898, 1000000
587, 0.892, 1000000
588, 0.894, 1000000
589, 0.885, 1000000
590, 0.897, 1000000
591, 0.903, 1000000
592, 0.893, 1000000
593, 0.877, 1000000
594, 0.876, 1000000
595, 0.891, 1000000
596, 0.89, 1000000
597, 0.882, 1000000
598, 0.886, 1000000
599, 0.898, 1000000
600, 0.894, 10000000
601, 0.895, 10000000
602, 0.867, 10000000
603, 0.897, 10000000
604, 0.877, 10000000
605, 0.873, 10000000
606, 0.89, 10000000
607, 0.888, 10000000
608, 0.885, 10000000
609, 0.883, 10000000
610, 0.875, 10000000
611, 0.867, 10000000
612, 0.882, 10000000
613, 0.883, 10000000
614, 0.872, 10000000
615, 0.881, 10000000
616, 0.889, 10000000
617, 0.895, 10000000
618, 0.875, 10000000
619, 0.875, 10000000
620, 0.889, 10000000
621, 0.859, 10000000
622, 0.891, 10000000
623, 0.891, 10000000
624, 0.887, 10000000
625, 0.893, 10000000
626, 0.884, 10000000
627, 0.882, 10000000
628, 0.885, 10000000
629, 0.881, 10000000
630, 0.889, 10000000
631, 0.868, 10000000
632, 0.888, 10000000
633, 0.884, 10000000
634, 0.876, 10000000
635, 0.9, 10000000
636, 0.904, 10000000
637, 0.89, 10000000
638, 0.894, 10000000
639, 0.904, 10000000
640, 0.89, 10000000
641, 0.872, 10000000
642, 0.905, 10000000
643, 0.896, 10000000
644, 0.883, 10000000
645, 0.902, 10000000
646, 0.877, 10000000
647, 0.893, 10000000
648, 0.9, 10000000
649, 0.905, 10000000
650, 0.891, 10000000
651, 0.887, 10000000
652, 0.876, 10000000
653, 0.891, 10000000
654, 0.88, 10000000
655, 0.878, 10000000
656, 0.872, 10000000
657, 0.899, 10000000
658, 0.879, 10000000
659, 0.883, 10000000
660, 0.89, 10000000
